SkipTrack:false, Metadata:true, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:false, OSColors:true, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:false, Light:true, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:true, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:true, MP3:false, OSColors:false, Reorder:false, Cover:true, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:true, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:false, Light:true, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:false, MP3:false, OSColors:false, Reorder:true, Cover:true, Volume:false, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:false, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:false, MP3:false, OSColors:false, Reorder:true, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:true, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:true, RandomColor:true, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:true, Cover:false, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:true, 
SkipTrack:true, Metadata:true, RemoveTrack:false, Album:true, WAV:true, NiceToHave:false, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:true, Cover:true, Volume:true, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:false, WAV:false, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:false, MP3:false, OSColors:true, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:false, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:false, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:false, MP3:true, OSColors:false, Reorder:true, Cover:true, Volume:false, Skins:true, Dark:true, ClearPlaylist:true, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:true, MP3:true, OSColors:true, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:true, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:false, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:true, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:false, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:true, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:false, MP3:true, OSColors:true, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:true, Metadata:true, RemoveTrack:false, Album:true, WAV:false, NiceToHave:true, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:true, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:true, MP3:false, OSColors:true, Reorder:true, Cover:true, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:false, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:true, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:true, YouTube:true, MP3:false, OSColors:false, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:true, ClearPlaylist:true, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:true, YouTube:false, MP3:false, OSColors:true, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:true, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:true, MP3:false, OSColors:true, Reorder:true, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:false, MP3:true, OSColors:false, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:false, 
SkipTrack:true, Metadata:true, RemoveTrack:false, Album:true, WAV:false, NiceToHave:false, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:true, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:true, YouTube:true, MP3:false, OSColors:false, Reorder:true, Cover:true, Volume:true, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:true, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:false, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:false, MP3:false, OSColors:false, Reorder:false, Cover:true, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:false, Titlebar:true, 
SkipTrack:true, Metadata:true, RemoveTrack:false, Album:true, WAV:true, NiceToHave:false, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:true, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:true, MP3:true, OSColors:true, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:true, MP3:true, OSColors:false, Reorder:true, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:false, OSColors:true, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:false, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:true, WAV:false, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:true, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:false, MP3:true, OSColors:false, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:true, NiceToHave:true, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:false, MP3:false, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:true, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:false, Playlist:true, JumpPosition:false, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:false, MP3:true, OSColors:true, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:true, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:true, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:true, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:true, MultiplePlaylists:true, RandomColor:true, SaveandLoad:false, ShuffleRepeat:true, Base:true, OGG:false, YouTube:false, MP3:false, OSColors:false, Reorder:true, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:true, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:false, MP3:true, OSColors:true, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:false, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:true, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:false, MP3:true, OSColors:true, Reorder:true, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:true, RemeberStatus:true, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:true, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:true, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:false, OSColors:false, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:true, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:true, RemoveTrack:true, Album:true, WAV:false, NiceToHave:true, Playlist:true, JumpPosition:true, Light:false, OpenFolder:true, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:true, Tracknumber:true, Codecs:true, Progress:true, AAC:false, PlaylistControls:true, MultiplePlaylists:true, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:true, MP3:true, OSColors:true, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:true, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:true, OSColors:false, Reorder:false, Cover:false, Volume:false, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:false, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:true, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:true, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:false, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:true, MP3:false, OSColors:false, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:true, Titlebar:false, 
SkipTrack:false, Metadata:true, RemoveTrack:false, Album:true, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:true, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:true, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:false, YouTube:true, MP3:false, OSColors:false, Reorder:false, Cover:true, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:false, Titlebar:true, 
SkipTrack:false, Metadata:false, RemoveTrack:false, Album:false, WAV:true, NiceToHave:false, Playlist:false, JumpPosition:false, Light:false, OpenFolder:false, GUI:true, FeatureAMP:true, QueueTrack:false, Mute:false, TagEditor:false, Tracknumber:false, Codecs:true, Progress:true, AAC:false, PlaylistControls:false, MultiplePlaylists:false, RandomColor:false, SaveandLoad:false, ShuffleRepeat:false, Base:true, OGG:true, YouTube:false, MP3:false, OSColors:true, Reorder:false, Cover:false, Volume:true, Skins:true, Dark:false, ClearPlaylist:false, RemeberStatus:false, Progressbar:false, Titlebar:true, 
